property_id,property_type,property_subtype,price,price_type,living_area_m2,bedrooms,bathrooms,address,postal_code,city,latitude,longitude,building_year,epc_score,region,province,nearby_city,state_of_the_building,furnished,kitchen_equipped,has_garage,parking_count,facades,floors_total,floor_number,has_garden,garden_area_m2,has_terrace,total_area_m2,has_elevator
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbe34650,Apartment,apartment,190000,sell,50,1,1,Rue des Gla&#xEF;euls 17 2,1180,ukkel,50.8103165,4.3415279,,G,Brussels,Brussels Capital Region,"('Uccle', 1.0, True)",To be renovated,0,,,,2,4,0,,,1,,0
https://immovlan.be/en/detail/residence/for-sale/2830/willebroek/rbw19245,House,residence,1800000,sell,1565,21,,Grote Bergen 50,2830,willebroek,51.07515,4.393802,,F,Flanders,Antwerp,"('Malines', 8.0, False)",To be renovated,0,,,,4,,,1,,1,27811.0,0
https://immovlan.be/en/detail/residence/for-sale/9600/ronse/rbw20337,House,residence,189000,sell,135,3,1,Elzelestraat 43,9600,ronse,50.746762,3.6061239,,E,Flanders,East Flanders,"('Waregem', 20.5, False)",Normal,0,Fully equipped,,,2,3,,1,,1,320.0,1
https://immovlan.be/en/detail/mixed-building/for-sale/6000/charleroi/vbe34871,House,mixed-building,219900,sell,,2,2,,6000,charleroi,50.4157265,4.449213,1899,B,Wallonia,Hainaut,"('Charleroi', 0.6, False)",,0,Super equipped,,,2,,,,,,97.0,0
https://immovlan.be/en/detail/cottage/for-sale/8790/waregem/vbe33492,House,cottage,,sell,2500,5,5,,8790,waregem,50.8869521,3.4231317,1900,B,Flanders,West Flanders,"('Waregem', 0.6, False)",Excellent,0,Super equipped,1,6,4,,,1,,1,27546.0,0
https://immovlan.be/en/detail/residence/for-sale/2220/heist-op-den-berg/rbw23711,House,residence,949000,sell,316,4,2,Lammeneelstraat 26A,2220,heist-op-den-berg,51.04624,4.711979,2021,A,Flanders,Antwerp,"('Malines', 16.6, False)",Normal,0,,1,2,4,,,1,,1,1803.0,0
https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbe34618,Apartment,apartment,114000,sell,89,1,1,Rue Roture 24 0013,4020,liege,50.6402548,5.58269086,,C,Wallonia,Liège,"('Liège', 0.9, False)",Normal,0,,,,,3,1,,,,,0
https://immovlan.be/en/detail/residence/for-sale/6042/lodelinsart/vbe31642,House,residence,87000,sell,105,2,1,Rue du Warchat 30,6042,lodelinsart,50.42396816,4.43894993,,G,Wallonia,Hainaut,"('Charleroi', 1.5, False)",To be renovated,0,,,,2,,,1,100.0,1,185.0,0
https://immovlan.be/en/detail/residence/for-sale/5020/malonne/vbe33810,House,residence,365000,sell,164,4,1,Rue de la Cit&#xE9; 14,5020,malonne,50.42417645,4.79546868,1960,E,Wallonia,Namur,"('Namur', 7.0, False)",Normal,0,,1,1,4,2,,1,800.0,1,1079.0,0
https://immovlan.be/en/detail/villa/for-sale/9506/grimminge/rbw17268,House,villa,1285000,sell,550,7,6,Klakvijverstraat 69c,9506,grimminge,50.7919381,3.9376868,2018,A,Flanders,East Flanders,"('Alost', 17.7, False)",Normal,0,Super equipped,,,4,3,,1,,1,1880.0,0
https://immovlan.be/en/detail/residence/for-sale/6183/trazegnies/vbe35167,House,residence,259000,sell,147,3,1,Rue de Chapelle 136 3,6183,trazegnies,50.4654265,4.3206532,1997,B,Wallonia,Hainaut,"('La Louvière', 9.5, False)",Excellent,0,Fully equipped,,,2,1,,1,,1,386.0,0
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbw15958,Apartment,apartment,1995000,sell,241,2,2,Kouter 21 201,9000,gent,51.0498419,3.7237048,2023,B,Flanders,East Flanders,"('Gent', 0.7, False)",Excellent,0,Fully equipped,,,2,1,,1,,1,,1
https://immovlan.be/en/detail/villa/for-sale/4671/saive/vbe33735,House,villa,895000,sell,307,5,,"Rue Cohy, 9A",4671,saive,50.6583703,5.6785788,,C,Wallonia,Liège,"('Liège', 7.5, False)",,,,1,2,4,,,,,1,1530.0,
https://immovlan.be/en/detail/residence/for-sale/6120/nalinnes/vbe34060,House,residence,1000000,sell,357,4,3,,6120,nalinnes,50.3241156,4.4465124,2022,A,Wallonia,Hainaut,"('Charleroi', 9.6, False)",New,0,,1,2,3,1,,1,60.0,1,6000.0,1
https://immovlan.be/en/detail/duplex/for-sale/7134/epinois/vbe35013,Apartment,duplex,220000,sell,,3,1,Rue de l&#x27;Etang 3 2,7134,epinois,50.4047757,4.2090011,,B,Wallonia,Hainaut,"('La Louvière', 8.4, False)",Excellent,,Super equipped,1,1,2,1,1,1,,1,,
https://immovlan.be/en/detail/villa/for-sale/9220/hamme/rbw23713,House,villa,999000,sell,222,3,2,BOOTDIJKSTRAAT 49,9220,hamme,51.0743,4.163605,2019,A,Flanders,East Flanders,"('Dendermonde', 6.7, False)",,0,,1,2,4,,,1,,1,,0
https://immovlan.be/en/detail/master-house/for-sale/8500/kortrijk/rbw23730,House,master-house,1200000,sell,400,5,2,,8500,kortrijk,50.8194894,3.2577076,1950,C,Flanders,West Flanders,"('Kortrijk', 1.1, False)",Normal,0,Super equipped,1,1,2,4,,1,,1,625.0,1
